,text,author_id,conversation_id,created_at,in_reply_to_user_id,id
136,"@WanjikuReports Deloitte, KRA and Unilever",1271801602131795971,1473929269319553026,2021-12-23T15:26:35.000Z,1242834186173665280,1474038737130512390
137,@WanjikuReports Not there but definitely @binance,712139243653636096,1473929269319553026,2021-12-23T15:26:15.000Z,1242834186173665280,1474038653223636999
138,@WanjikuReports Safaricom kengen google Microsoft in that order 😌,1344300812722466819,1473929269319553026,2021-12-23T15:25:59.000Z,1242834186173665280,1474038584743284737
139,"@WanjikuReports 18, inshallah",1248698312427003904,1473929269319553026,2021-12-23T15:25:49.000Z,1242834186173665280,1474038540627554320
140,@ItsBillyRicky @Mstephano_ @WanjikuReports Idhi kod agencies matiyo gi UN kata agencies mag tich kuonde go.,813156660,1473929269319553026,2021-12-23T15:25:06.000Z,1020311057720635392,1474038362633867264
141,"@WanjikuReports Man, I interned at @KenGenKenya Engineering dept si I had hopes after campus....wooii!!! I simped and simped. LORDT!! This life, no balance.",72002466,1473929269319553026,2021-12-23T15:25:04.000Z,1242834186173665280,1474038354891128859
142,@WanjikuReports Microsoft,4794433218,1473929269319553026,2021-12-23T15:24:04.000Z,1242834186173665280,1474038104143114258
143,@WanjikuReports Microsoft,3184831,1473929269319553026,2021-12-23T15:23:44.000Z,1242834186173665280,1474038017572622345
144,@WanjikuReports Kengen,184222622,1473929269319553026,2021-12-23T15:23:23.000Z,1242834186173665280,1474037928921817094
145,@OgendoOyugi @WanjikuReports We don't pay bills with those funny quotes. It's either paying your bills or it's not.,1476521467,1473929269319553026,2021-12-23T15:23:19.000Z,1412271206,1474037912266289160
146,@WanjikuReports @KRACare,416055596,1473929269319553026,2021-12-23T15:23:00.000Z,1242834186173665280,1474037835460411392
147,@WanjikuReports 3 bana or any NGO,2365574455,1473929269319553026,2021-12-23T15:22:21.000Z,1242834186173665280,1474037670192066560
148,"@MwDerek @WanjikuReports But I thought teaching is a calling,what happened?",1412271206,1473929269319553026,2021-12-23T15:21:40.000Z,1476521467,1474037499051876354
149,"@WanjikuReports 11, 14, or 18.",961601793171042304,1473929269319553026,2021-12-23T15:21:21.000Z,1242834186173665280,1474037418798030850
150,@WanjikuReports You chose the best,2958272775,1473929269319553026,2021-12-23T15:21:16.000Z,1242834186173665280,1474037398111723520
151,@WanjikuReports @KenGenKenya,4782739156,1473929269319553026,2021-12-23T15:21:15.000Z,1242834186173665280,1474037391610556416
152,@WanjikuReports Why would you put BIDCO here..a company which pay 30k for a management role,735599262680158208,1473929269319553026,2021-12-23T15:21:11.000Z,1242834186173665280,1474037377370931210
153,@WanjikuReports kenya pipeline company,1291401182,1473929269319553026,2021-12-23T15:20:41.000Z,1242834186173665280,1474037250363060224
154,@WanjikuReports 11,1255455798928592898,1473929269319553026,2021-12-23T15:20:38.000Z,1242834186173665280,1474037238245830659
155,@WanjikuReports @KCBGroup,753626080020488192,1473929269319553026,2021-12-23T15:20:31.000Z,1242834186173665280,1474037210370433028
156,@WanjikuReports 14,48671575,1473929269319553026,2021-12-23T15:20:20.000Z,1242834186173665280,1474037162966405130
157,@WanjikuReports @Safaricom_Care .dream.,1130534397093007360,1473929269319553026,2021-12-23T15:19:52.000Z,1242834186173665280,1474037044213329925
158,@WanjikuReports 5,924327180678594560,1473929269319553026,2021-12-23T15:19:51.000Z,1242834186173665280,1474037042187223051
159,@OgendoOyugi @WanjikuReports Jakano yawa. Walimu kwanza wameambiwa walipe 6k ndio waendelee kufunzwa new skills by force. Mimi I'm in my last year of teaching. Naenda profession ingine,1476521467,1473929269319553026,2021-12-23T15:19:51.000Z,1412271206,1474037039075143686
160,"@WanjikuReports 3,5,6",1469266555,1473929269319553026,2021-12-23T15:19:48.000Z,1242834186173665280,1474037027863674881
161,@WanjikuReports @Amref_Kenya It is..,841992864083132416,1473929269319553026,2021-12-23T15:19:16.000Z,1242834186173665280,1474036893218217988
162,@WanjikuReports @DeloitteKenya Dreams are valid,2724414419,1473929269319553026,2021-12-23T15:18:51.000Z,1242834186173665280,1474036791372132354
163,@WanjikuReports Working with @SafaricomPLC @Safaricom_Care  must be a dream come true. Their working environment is well designed. Their employees are smart. I wish I work with them some day,1692941432,1473929269319553026,2021-12-23T15:18:13.000Z,1242834186173665280,1474036628880506882
164,@WanjikuReports Nene feeds,1036499757273890817,1473929269319553026,2021-12-23T15:17:32.000Z,1242834186173665280,1474036456477937669
165,@WanjikuReports 13 @KCBGroup 🤞🏿,2185560917,1473929269319553026,2021-12-23T15:16:14.000Z,1242834186173665280,1474036129238335496
166,@WanjikuReports Hey @KenGenKenya 👋...,481099048,1473929269319553026,2021-12-23T15:15:26.000Z,1242834186173665280,1474035927790104584
167,@WanjikuReports Is G.O.K a joke to you?,1254821540287430657,1473929269319553026,2021-12-23T15:14:13.000Z,1242834186173665280,1474035622172139521
168,@W_Dennis001 @WanjikuReports @EABL_PLC Wacha hizo Bana 😂😂😂,1338971159237431298,1473929269319553026,2021-12-23T15:13:45.000Z,2147503549,1474035504320557066
169,@WanjikuReports Misati Realtors,717712055382458368,1473929269319553026,2021-12-23T15:12:53.000Z,1242834186173665280,1474035286787121163
170,"@WanjikuReports It should be not just working, working in which capacity?",4248874108,1473929269319553026,2021-12-23T15:12:47.000Z,1242834186173665280,1474035263898804227
171,@JohnRashford8 @WanjikuReports @EABL_PLC Wanaogopa unaeza kunywa stock,2147503549,1473929269319553026,2021-12-23T15:12:30.000Z,1338971159237431298,1474035192939565063
172,@WanjikuReports @EABL_PLC definitely,1247299172119822337,1473929269319553026,2021-12-23T15:12:18.000Z,1242834186173665280,1474035140208873473
173,@WanjikuReports @KCBGroup,967667468,1473929269319553026,2021-12-23T15:12:02.000Z,1242834186173665280,1474035072219058180
